Year,Car Cost
1967,3215
1968,3407
1969,3556
1970,3543
1971,3742
1972,3879
1973,4052
1974,4441
1975,4951
1976,5416
1977,5813
1978,6379
1979,6848
1980,7574
1981,8910
1982,9903
1983,10607
1984,11374
1985,11838
1986,12651
1987,13383
1988,13933
1989,14372
1990,15045
1991,15473
1992,16334
1993,16829
1994,17803
1995,17900
1996,18525
1997,19214
1998,20238
1999,20686
2000,21047
2001,21478
2002,21866
2003,21663
2004,22068
2005,23013
2006,23629
2007,23892
2008,23429
2009,23252
2010,24899
2011,25498
2012,25552
2013,25581
2014,25464
2015,25332
2016,25449
