Category,MedianHomePriceNSA,CPIAdjustedPrice
Thu Jan 15 1953,18080.26,210931.38
Sun Feb 15 1953,18080.26,211727.35
Sun Mar 15 1953,18080.26,210931.38
Wed Apr 15 1953,18122.25,211421.25
Fri May 15 1953,18143.25,210873.49
Mon Jun 15 1953,18143.25,210086.65
Wed Jul 15 1953,18185.25,210572.98
Sat Aug 15 1953,18206.25,210032.44
Tue Sep 15 1953,18227.25,210274.71
Thu Oct 15 1953,18227.25,209495.91
Sun Nov 15 1953,18206.25,210032.44
Tue Dec 15 1953,18206.25,210032.44
Fri Jan 15 1954,18206.25,210032.44
Mon Feb 15 1954,18227.25,210274.71
Mon Mar 15 1954,18227.25,210274.71
Thu Apr 15 1954,18206.25,210816.15
Sat May 15 1954,18206.25,210032.44
Tue Jun 15 1954,18227.25,210274.71
Thu Jul 15 1954,18290.25,211001.49
Sun Aug 15 1954,18332.24,211485.9
Wed Sep 15 1954,18374.24,212761.36
Fri Oct 15 1954,18353.24,212518.19
Mon Nov 15 1954,18353.24,212518.19
Wed Dec 15 1954,18374.24,213558.22
Sat Jan 15 1955,18395.24,213802.29
Tue Feb 15 1955,18332.24,213070.06
Tue Mar 15 1955,18290.25,212582.03
Fri Apr 15 1955,18185.25,211361.64
Sun May 15 1955,18185.25,211361.64
Wed Jun 15 1955,18269.25,212337.95
Fri Jul 15 1955,18332.24,212275.03
Mon Aug 15 1955,18437.24,213490.86
Thu Sep 15 1955,18479.24,213181.73
Sat Oct 15 1955,18458.24,212939.47
Tue Nov 15 1955,18416.24,212454.95
Thu Dec 15 1955,18374.24,212761.36
Sun Jan 15 1956,18332.24,212275.03
Wed Feb 15 1956,18269.25,211545.64
Thu Mar 15 1956,18206.25,210816.15
Sun Apr 15 1956,18122.25,209063.4
Tue May 15 1956,18143.25,208530.45
Fri Jun 15 1956,18332.24,209153.33
Sun Jul 15 1956,18479.24,209291.56
Wed Aug 15 1956,18605.23,211490.35
Sat Sep 15 1956,18584.23,210480.65
Mon Oct 15 1956,18563.24,209478.4
Thu Nov 15 1956,18521.24,209004.45
Sat Dec 15 1956,18542.24,208483.3
